Rank (2024),School,Vacancies (2024),Applicants (2024),Ratio (2024),Ballot (2024),Rank (2022),Rank (2023),,school_name,latitude,longitude
,,,,,,,,,TEMASEK PRIMARY SCHOOL,1.317706776,103.9455907
,,,,,,,,,TOWNSVILLE PRIMARY SCHOOL,1.359946495,103.853769
,,,,,,,,,WATERWAY PRIMARY SCHOOL,1.398892612,103.9185859
,,,,,,,,,WELLINGTON PRIMARY SCHOOL,1.451685176,103.8225162
,,,,,,,,,WEST GROVE PRIMARY SCHOOL,1.344712118,103.6989642
,,,,,,,,,WEST SPRING PRIMARY SCHOOL,1.389179718,103.7663977
,,,,,,,,,WEST VIEW PRIMARY SCHOOL,1.383785465,103.7602734
,,,,,,,,,WESTWOOD PRIMARY SCHOOL,1.347710965,103.7004675
,,,,,,,,,WHITE SANDS PRIMARY SCHOOL,1.365636109,103.9608618
,,,,,,,,,WOODGROVE PRIMARY SCHOOL,1.432736207,103.7902303
,,,,,,,,,WOODLANDS PRIMARY SCHOOL,1.436582707,103.7917913
,,,,,,,,,WOODLANDS RING PRIMARY SCHOOL,1.434851794,103.7974143
,,,,,,,,,XINGHUA PRIMARY SCHOOL,1.357996538,103.8902164
,,,,,,,,,XINGNAN PRIMARY SCHOOL,1.342706397,103.6875885
,,,,,,,,,XINMIN PRIMARY SCHOOL,1.371767983,103.8828099
,,,,,,,,,XISHAN PRIMARY SCHOOL,1.433471869,103.8377553
,,,,,,,,,YANGZHENG PRIMARY SCHOOL,1.348976808,103.8684671
,,,,,,,,,YEW TEE PRIMARY SCHOOL,1.396726035,103.751818
,,,,,,,,,YIO CHU KANG PRIMARY SCHOOL,1.377932643,103.8856437
,,,,,,,,,YISHUN PRIMARY SCHOOL,1.433976173,103.8340508
,,,,,,,,,YU NENG PRIMARY SCHOOL,1.333980379,103.932015
,,,,,,,,,YUHUA PRIMARY SCHOOL,1.342919816,103.7408611
,,,,,,,,,YUMIN PRIMARY SCHOOL,1.351315699,103.9505511
,,,,,,,,,ZHANGDE PRIMARY SCHOOL,1.284211539,103.8259519
,,,,,,,,,ZHENGHUA PRIMARY SCHOOL,1.379428736,103.7697032
,,,,,,,,,ZHONGHUA PRIMARY SCHOOL,1.360260725,103.8697125
