Station_Name,Station_Type,Station_Name_Short,Type_Code,Shape_Area,Shape_Length,Attachment
ORCHARD BOULEVARD MRT STATION,MRT,,0,5472.66929182,624.072144248,
GALI BATU DEPOT,MRT,,0,256695.147741,3633.53706931,
BARTLEY MRT STATION,MRT,,0,7829.79856732,573.619399834,CC12_BLY STN.zip
CITY HALL MRT STATION,MRT,,0,8317.95850107,597.274928912,
TAMPINES MRT STATION,MRT,,0,8625.23644221,663.852574338,
TAN KAH KEE MRT STATION,MRT,,0,7712.92538846,596.337231184,
MACPHERSON MRT STATION,MRT,,0,9978.08874716,673.661094537,CC10_MPS STN.zip
BOON KENG MRT STATION,MRT,,0,12607.4883536,869.093140203,NE9_BNK STN.zip
SEGAR LRT STATION,LRT,,0,972.38790082,172.598530941,
CASHEW MRT STATION,MRT,,0,7212.70291556,494.054913675,
PROMENADE MRT STATION,MRT,,0,11020.6702646,1023.2226942,CC4_PMN STN.zip
GUL CIRCLE MRT STATION,MRT,,0,10826.2451639,1069.16999546,
PROMENADE MRT STATION,MRT,,0,4005.7132507,533.719122309,
BUONA VISTA MRT STATION,MRT,,0,5517.42608561,588.824658597,
UPPER THOMSON MRT STATION,MRT,,0,10071.2006812,1040.78567281,
SIXTH AVENUE MRT STATION,MRT,,0,7126.67379684,519.98307115,
BRIGHT HILL MRT STATION,MRT,,0,12113.3744994,950.490450005,
BUGIS MRT STATION,MRT,,0,12956.5118966,1085.63296736,C301A_S_BGS_MAIN_A_R19_P2.zip
ANG MO KIO MRT STATION,MRT,,0,6815.3999195,420.002681564,
MARYMOUNT MRT STATION,MRT,,0,6763.00948288,614.653469819,CC16_MRM STN.zip
BUGIS MRT STATION,MRT,,0,9401.91120261,1037.97206265,
WOODLEIGH MRT STATION,MRT,,0,10952.890366,603.453381619,NE11_WHL STN.zip
CANBERRA MRT STATION,MRT,,0,7838.73731714,687.774472067,
SIMEI MRT STATION,MRT,,0,5650.86747831,394.439893025,C306_S_SIM_MAIN_A_R19_P3.zip
ESPLANADE MRT STATION,MRT,,0,7702.76988597,596.203569674,CC3_EPN STN.zip
LITTLE INDIA MRT STATION,MRT,,0,11728.0695601,1051.13133084,NE7_LTI STN.zip
BENDEMEER MRT STATION,MRT,,0,4571.45477854,351.443195998,
BISHAN MRT STATION,MRT,,0,6619.40186866,449.679572327,
LORONG CHUAN MRT STATION,MRT,,0,8638.00474311,643.92118729,CC14_LRC STN.zip
SENGKANG LRT STATION,LRT,,0,228.40576701,549.795220348,
COMMONWEALTH MRT STATION,MRT,,0,2599.22856568,330.710714172,
NAPIER MRT STATION,MRT,,0,6876.41938416,509.489116373,
GEYLANG BAHRU MRT STATION,MRT,,0,5931.33770694,404.447120747,
NEWTON MRT STATION,MRT,,0,6385.89168574,628.043041808,
OUTRAM PARK MRT STATION,MRT,,0,4800.97410007,412.700858643,C109_S_OTP_MAIN_A_R19_P2.zip
OUTRAM PARK MRT STATION,MRT,,0,12525.5377782,1317.22023727,NE3_OTP STN.zip
CLARKE QUAY MRT STATION,MRT,,0,12177.081199,1005.13163555,NE5_CQY STN.zip
BEDOK RESERVOIR MRT STATION,MRT,,0,9431.87921284,698.90417705,
BRAS BASAH MRT STATION,MRT,,0,6169.5187633,700.135249673,CC2_BBS STN.zip
MARINE TERRACE MRT STATION,MRT,,0,13185.944168,1218.24566117,
MARINA BAY MRT STATION,MRT,,0,11809.448084,649.246955096,
BEDOK NORTH MRT STATION,MRT,,0,9862.55599814,725.946392222,
HARBOURFRONT MRT STATION,MRT,,0,10147.382789,670.03867794,CC29_HBF STN.zip
CHANGI AIRPORT MRT STATION,MRT,,0,12554.6593625,693.856676552,C502_S_XPO_MAIN_A_R19_P2.zip
BRADDELL MRT STATION,MRT,,0,6607.47452559,690.152251214,
ROCHOR MRT STATION,MRT,,0,8786.29414775,696.955997508,
CLEMENTI MRT STATION,MRT,,0,2884.84894078,334.622130016,
MACPHERSON MRT STATION,MRT,,0,7569.90382571,809.173003422,
MARINA SOUTH PIER MRT STATION,MRT,,0,10209.5552945,843.287880947,
TUAS LINK MRT STATION,MRT,,0,9365.17971315,765.194699085,
STEVENS MRT STATION,MRT,,0,5968.13126468,570.462202022,
SENJA LRT STATION,LRT,,0,745.33451336,118.299186626,
HAW PAR VILLA MRT STATION,MRT,,0,7458.63174114,637.147848428,CC25_HPV STN.zip
MARINA BAY MRT STATION,MRT,,0,24333.043528,1512.42939411,
MARINE PARADE MRT STATION,MRT,,0,11655.9516457,932.274607954,
STEVENS MRT STATION,MRT,,0,4173.09093375,287.556827871,
MARINA BAY MRT STATION,MRT,,0,267.771474195,68.2966663815,
BOTANIC GARDENS MRT STATION,MRT,,0,8505.19194761,511.420076218,CC19_BTN STN.zip
CHOA CHU KANG MRT STATION,MRT,,0,4931.90336204,377.290533423,
BISHAN DEPOT,MRT,,0,311932.900285,4316.56310676,
KEAT HONG LRT STATION,LRT,,0,855.399414025,140.824167659,
ADMIRALTY MRT STATION,MRT,,0,10570.643307,547.642518732,
REDHILL MRT STATION,MRT,,0,4352.08581838,376.145920707,
UPPER CHANGI MRT STATION,MRT,,0,14006.1850921,812.738089295,
EXPO MRT STATION,MRT,,0,6428.8531801,510.803703792,
CHANGI DEPOT,MRT,,0,164551.095634,2670.86742123,
TELOK AYER MRT STATION,MRT,,0,7022.66868481,553.964273023,
NOVENA MRT STATION,MRT,,0,5864.19701695,462.183367372,
BOON LAY MRT STATION,MRT,,0,7933.43907898,446.977419565,
KATONG PARK MRT STATION,MRT,,0,8412.72905538,700.225809165,
TANJONG KATONG MRT STATION,MRT,,0,5898.95465775,563.545016921,
RAFFLES PLACE MRT STATION,MRT,,0,10035.6763604,836.986055678,
TUNNEL STRUCTURE CONNECTING DEPOT TO FACILITY BUILDING,MRT,,0,3897.92019904,408.390214363,
